Name,Longitude location of institution,Latitude location of institution,search_url,image,url
Alabama A & M University,-86.568502,34.783368,http://api.duckduckgo.com/?q=Alabama+A+%26+M+University%20wikipedia&format=json,https://duckduckgo.com/i/81907f4fe3655524.png,http://www.aamu.edu/
University of Alabama at Birmingham,-86.80917,33.50223,http://api.duckduckgo.com/?q=University+of+Alabama+at+Birmingham%20wikipedia&format=json,https://duckduckgo.com/i/82f153f9439196e9.png,http://www.uab.edu
Amridge University,-86.17401,32.362609,http://api.duckduckgo.com/?q=Amridge+University%20wikipedia&format=json,https://duckduckgo.com/i/eaab7c16.png,https://www.amridgeuniversity.edu/
University of Alabama in Huntsville,-86.63842,34.722818,http://api.duckduckgo.com/?q=University+of+Alabama+in+Huntsville%20wikipedia&format=json,https://duckduckgo.com/i/4680d0bc.png,http://www.uah.edu
Alabama State University,-86.295677,32.364317,http://api.duckduckgo.com/?q=Alabama+State+University%20wikipedia&format=json,https://duckduckgo.com/i/6bf43681e4ccc6b4.png,http://www.alasu.edu
The University of Alabama,-87.545766,33.2144,http://api.duckduckgo.com/?q=The+University+of+Alabama%20wikipedia&format=json,https://duckduckgo.com/i/00acdaa600c586c9.png,https://www.ua.edu/
Athens State University,-86.96514,34.805625,http://api.duckduckgo.com/?q=Athens+State+University%20wikipedia&format=json,https://duckduckgo.com/i/50aa2301.png,https://www.athens.edu/
Auburn University at Montgomery,-86.177351,32.369939,http://api.duckduckgo.com/?q=Auburn+University+at+Montgomery%20wikipedia&format=json,https://duckduckgo.com/i/d0608dc4.png,http://www.aum.edu
Auburn University,-85.492409,32.600201,http://api.duckduckgo.com/?q=Auburn+University%20wikipedia&format=json,https://duckduckgo.com/i/491cbec1.png,https://auburn.edu
Birmingham Southern College,-86.853636,33.515453,http://api.duckduckgo.com/?q=Birmingham+Southern+College%20wikipedia&format=json,https://duckduckgo.com/i/174e50c7e4418d10.png,
Concordia College Alabama,-87.023531,32.42443,http://api.duckduckgo.com/?q=Concordia+College+Alabama%20wikipedia&format=json,,http://www.ccal.edu/
Faulkner University,-86.21641,32.384181,http://api.duckduckgo.com/?q=Faulkner+University%20wikipedia&format=json,https://duckduckgo.com/i/1e58c81b.png,http://www.faulkner.edu
Huntingdon College,-86.285313,32.350939,http://api.duckduckgo.com/?q=Huntingdon+College%20wikipedia&format=json,https://duckduckgo.com/i/0b998962.png,http://www.huntingdon.edu
Jacksonville State University,-85.766644,33.822128,http://api.duckduckgo.com/?q=Jacksonville+State+University%20wikipedia&format=json,https://duckduckgo.com/i/38f664af.png,http://www.jsu.edu/
Judson College,-87.316127,32.630526,http://api.duckduckgo.com/?q=Judson+College%20wikipedia&format=json,,
University of West Alabama,-88.186077,32.59244,http://api.duckduckgo.com/?q=University+of+West+Alabama%20wikipedia&format=json,https://duckduckgo.com/i/ca2bccc3.jpg,http://www.uwa.edu
